ID, Name, Type, Category, Power, Accuracy, PP, Effect
1, Absorb, Grass, Special, 20, 100, 25, User recovers half the HP inflicted on opponent.
2, Acid, Poison, Special, 40, 100, 30, May lower opponent's Special Defense.
3, Acid Armor, Poison, Status, 0, 0, 20, Sharply raises user's Defense.
4, Agility, Psychic, Status, 0, 0, 30, Sharply raises user's Speed.
5, Amnesia, Psychic, Status, 0, 0, 20, Sharply raises user's Special Defense.
6, Aurora Beam, Ice, Special, 65, 100, 20, May lower opponent's Attack.
7, Barrage, Normal, Physical, 15, 85, 20, Hits 2-5 times in one turn.
8, Barrier, Psychic, Status, 0, 0, 20, Sharply raises user's Defense.
9, Bide, Normal, Physical, 0, 0, 10, User takes damage for two turns then strikes back double.
10, Bind, Normal, Physical, 15, 85, 20, Traps opponent, damaging them for 4-5 turns.
11, Bite, Dark, Physical, 60, 100, 25, May cause flinching.
12, Blizzard, Ice, Special, 110, 70, 5, May freeze opponent.
13, Body Slam, Normal, Physical, 85, 100, 15, May paralyze opponent.
14, Bone Club, Ground, Physical, 65, 85, 20, May cause flinching.
15, Bonemerang, Ground, Physical, 50, 90, 10, Hits twice in one turn.
16, Bubble, Water, Special, 40, 100, 30, May lower opponent's Speed.
17, Bubble Beam, Water, Special, 65, 100, 20, May lower opponent's Speed.
18, Clamp, Water, Physical, 35, 85, 15, Traps opponent, damaging them for 4-5 turns.
19, Comet Punch, Normal, Physical, 18, 85, 15, Hits 2-5 times in one turn.
20, Confuse Ray, Ghost, Status, 0, 100, 10, Confuses opponent.
21, Confusion, Psychic, Special, 50, 100, 25, May confuse opponent.
22, Constrict, Normal, Physical, 10, 100, 35, May lower opponent's Speed by one stage.
23, Conversion, Normal, Status, 0, 0, 30, Changes user's type to that of its first move.
24, Counter, Fighting, Physical, 0, 100, 20, When hit by a Physical Attack, user strikes back with 2x power.
25, Crabhammer, Water, Physical, 100, 90, 10, High critical hit ratio.
26, Cut, Normal, Physical, 50, 95, 30
27, Defense Curl, Normal, Status, 0, 0, 40, Raises user's Defense.
28, Dig, Ground, Physical, 80, 100, 10, Digs underground on first turn, attacks on second. Can also escape from caves.
29, Disable, Normal, Status, 0, 100, 20, Opponent can't use its last attack for a few turns.
30, Dizzy Punch, Normal, Physical, 70, 100, 10, May confuse opponent.
31, Double Kick, Fighting, Physical, 30, 100, 30, Hits twice in one turn.
32, Double Slap, Normal, Physical, 15, 85, 10, Hits 2-5 times in one turn.
33, Double Team, Normal, Status, 0, 0, 15, Raises user's Evasiveness.
34, Double-Edge, Normal, Physical, 120, 100, 15, User receives recoil damage.
35, Dragon Rage, Dragon, Special, 0, 100, 10, Always inflicts 40 HP.
36, Dream Eater, Psychic, Special, 100, 100, 15, User recovers half the HP inflicted on a sleeping opponent.
37, Drill Peck, Flying, Physical, 80, 100, 20
38, Earthquake, Ground, Physical, 100, 100, 10, Power is doubled if opponent is underground from using Dig.
39, Egg Bomb, Normal, Physical, 100, 75, 10
40, Ember, Fire, Special, 40, 100, 25, May burn opponent.
41, Explosion, Normal, Physical, 250, 100, 5, User faints.
42, Fire Blast, Fire, Special, 110, 85, 5, May burn opponent.
43, Fire Punch, Fire, Physical, 75, 100, 15, May burn opponent.
44, Fire Spin, Fire, Special, 35, 85, 15, Traps opponent, damaging them for 4-5 turns.
45, Fissure, Ground, Physical, 0, 30, 5, One-Hit-KO, if it hits.
46, Flamethrower, Fire, Special, 90, 100, 15, May burn opponent.
47, Flash, Normal, Status, 0, 100, 20, Lowers opponent's Accuracy.
48, Fly, Flying, Physical, 90, 95, 15, Flies up on first turn, attacks on second turn.
49, Focus Energy, Normal, Status, 0, 0, 30, Increases critical hit ratio.
50, Fury Attack, Normal, Physical, 15, 85, 20, Hits 2-5 times in one turn.
51, Fury Swipes, Normal, Physical, 18, 80, 15, Hits 2-5 times in one turn.
52, Glare, Normal, Status, 0, 100, 30, Paralyzes opponent.
53, Growl, Normal, Status, 0, 100, 40, Lowers opponent's Attack.
54, Growth, Normal, Status, 0, 0, 20, Raises user's Attack and Special Attack.
55, Guillotine, Normal, Physical, 0, 30, 5, One-Hit-KO, if it hits.
56, Gust, Flying, Special, 40, 100, 35, Hits Pokémon using Fly/Bounce/Sky Drop with double power.
57, Harden, Normal, Status, 0, 0, 30, Raises user's Defense.
58, Haze, Ice, Status, 0, 0, 30, Resets all stat changes.
59, Headbutt, Normal, Physical, 70, 100, 15, May cause flinching.
60, High Jump Kick, Fighting, Physical, 130, 90, 10, If it misses, the user loses half their HP.
61, Horn Attack, Normal, Physical, 65, 100, 25
62, Horn Drill, Normal, Physical, 0, 30, 5, One-Hit-KO, if it hits.
63, Hydro Pump, Water, Special, 110, 80, 5
64, Hyper Beam, Normal, Special, 150, 90, 5, User must recharge next turn.
65, Hyper Fang, Normal, Physical, 80, 90, 15, May cause flinching.
66, Hypnosis, Psychic, Status, 0, 60, 20, Puts opponent to sleep.
67, Ice Beam, Ice, Special, 90, 100, 10, May freeze opponent.
68, Ice Punch, Ice, Physical, 75, 100, 15, May freeze opponent.
69, Jump Kick, Fighting, Physical, 100, 95, 10, If it misses, the user loses half their HP.
70, Karate Chop, Fighting, Physical, 50, 100, 25, High critical hit ratio.
71, Kinesis, Psychic, Status, 0, 80, 15, Lowers opponent's Accuracy.
72, Leech Life, Bug, Physical, 80, 100, 10, User recovers half the HP inflicted on opponent.
73, Leech Seed, Grass, Status, 0, 90, 10, Drains HP from opponent each turn.
74, Leer, Normal, Status, 0, 100, 30, Lowers opponent's Defense.
75, Lick, Ghost, Physical, 30, 100, 30, May paralyze opponent.
76, Light Screen, Psychic, Status, 0, 0, 30, Halves damage from Special attacks for 5 turns.
77, Lovely Kiss, Normal, Status, 0, 75, 10, Puts opponent to sleep.
78, Low Kick, Fighting, Physical, 0, 100, 20, The heavier the opponent, the stronger the attack.
79, Meditate, Psychic, Status, 0, 0, 40, Raises user's Attack.
80, Mega Drain, Grass, Special, 40, 100, 15, User recovers half the HP inflicted on opponent.
81, Mega Kick, Normal, Physical, 120, 75, 5
82, Mega Punch, Normal, Physical, 80, 85, 20
83, Metronome, Normal, Status, 0, 0, 10, User performs almost any move in the game at random.
84, Mimic, Normal, Status, 0, 0, 10, Copies the opponent's last move.
85, Minimize, Normal, Status, 0, 0, 10, Sharply raises user's Evasiveness.
86, Mirror Move, Flying, Status, 0, 0, 20, User performs the opponent's last move.
87, Mist, Ice, Status, 0, 0, 30, User's stats cannot be changed for a period of time.
88, Night Shade, Ghost, Special, 0, 100, 15, Inflicts damage equal to user's level.
89, Pay Day, Normal, Physical, 40, 100, 20, Money is earned after the battle.
90, Peck, Flying, Physical, 35, 100, 35
91, Petal Dance, Grass, Special, 120, 100, 10, User attacks for 2-3 turns but then becomes confused.
92, Pin Missile, Bug, Physical, 25, 95, 20, Hits 2-5 times in one turn.
93, Poison Gas, Poison, Status, 0, 90, 40, Poisons opponent.
94, Poison Powder, Poison, Status, 0, 75, 35, Poisons opponent.
95, Poison Sting, Poison, Physical, 15, 100, 35, May poison the opponent.
96, Pound, Normal, Physical, 40, 100, 35
97, Psybeam, Psychic, Special, 65, 100, 20, May confuse opponent.
98, Psychic, Psychic, Special, 90, 100, 10, May lower opponent's Special Defense.
99, Psywave, Psychic, Special, 0, 100, 15, Inflicts damage 50-150% of user's level.
100, Quick Attack, Normal, Physical, 40, 100, 30, User attacks first.
101, Rage, Normal, Physical, 20, 100, 20, Raises user's Attack when hit.
102, Razor Leaf, Grass, Physical, 55, 95, 25, High critical hit ratio.
103, Razor Wind, Normal, Special, 80, 100, 10, Charges on first turn, attacks on second. High critical hit ratio.
104, Recover, Normal, Status, 0, 0, 5, User recovers half its max HP.
105, Reflect, Psychic, Status, 0, 0, 20, Halves damage from Physical attacks for 5 turns.
106, Rest, Psychic, Status, 0, 0, 5, User sleeps for 2 turns, but user is fully healed.
107, Roar, Normal, Status, 0, 0, 20, In battles, the opponent switches. In the wild, the Pokémon runs.
108, Rock Slide, Rock, Physical, 75, 90, 10, May cause flinching.
109, Rock Throw, Rock, Physical, 50, 90, 15
110, Rolling Kick, Fighting, Physical, 60, 85, 15, May cause flinching.
111, Sand Attack, Ground, Status, 0, 100, 15, Lowers opponent's Accuracy.
112, Scratch, Normal, Physical, 40, 100, 35
113, Screech, Normal, Status, 0, 85, 40, Sharply lowers opponent's Defense.
114, Seismic Toss, Fighting, Physical, 0, 100, 20, Inflicts damage equal to user's level.
115, Self-Destruct, Normal, Physical, 200, 100, 5, User faints.
116, Sharpen, Normal, Status, 0, 0, 30, Raises user's Attack.
117, Sing, Normal, Status, 0, 55, 15, Puts opponent to sleep.
118, Skull Bash, Normal, Physical, 130, 100, 10, Raises Defense on first turn, attacks on second.
119, Sky Attack, Flying, Physical, 140, 90, 5, Charges on first turn, attacks on second. May cause flinching. High critical hit ratio.
120, Slam, Normal, Physical, 80, 75, 20
121, Slash, Normal, Physical, 70, 100, 20, High critical hit ratio.
122, Sleep Powder, Grass, Status, 0, 75, 15, Puts opponent to sleep.
123, Sludge, Poison, Special, 65, 100, 20, May poison opponent.
124, Smog, Poison, Special, 30, 70, 20, May poison opponent.
125, Smokescreen, Normal, Status, 0, 100, 20, Lowers opponent's Accuracy.
126, Soft-Boiled, Normal, Status, 0, 0, 5, User recovers half its max HP.
127, Solar Beam, Grass, Special, 120, 100, 10, Charges on first turn, attacks on second.
128, Sonic Boom, Normal, Special, 0, 90, 20, Always inflicts 20 HP.
129, Spike Cannon, Normal, Physical, 20, 100, 15, Hits 2-5 times in one turn.
130, Splash, Normal, Status, 0, 0, 40, Doesn't do ANYTHING.
131, Spore, Grass, Status, 0, 100, 15, Puts opponent to sleep.
132, Stomp, Normal, Physical, 65, 100, 20, May cause flinching.
133, Strength, Normal, Physical, 80, 100, 15
134, String Shot, Bug, Status, 0, 95, 40, Sharply lowers opponent's Speed.
135, Struggle, Normal, Physical, 50, 0, 0, Only usable when all PP are gone. Hurts the user.
136, Stun Spore, Grass, Status, 0, 75, 30, Paralyzes opponent.
137, Submission, Fighting, Physical, 80, 80, 20, User receives recoil damage.
138, Substitute, Normal, Status, 0, 0, 10, Uses HP to create a decoy that takes hits.
139, Super Fang, Normal, Physical, 0, 90, 10, Always takes off half of the opponent's HP.
140, Supersonic, Normal, Status, 0, 55, 20, Confuses opponent.
141, Surf, Water, Special, 90, 100, 15, Hits all adjacent Pokémon.
142, Swift, Normal, Special, 60, ∞, 20, Ignores Accuracy and Evasiveness.
143, Swords Dance, Normal, Status, 0, 0, 20, Sharply raises user's Attack.
144, Tackle, Normal, Physical, 40, 100, 35
145, Tail Whip, Normal, Status, 0, 100, 30, Lowers opponent's Defense.
146, Take Down, Normal, Physical, 90, 85, 20, User receives recoil damage.
147, Teleport, Psychic, Status, 0, 0, 20, Allows user to flee wild battles; also warps player to last PokéCenter.
148, Thrash, Normal, Physical, 120, 100, 10, User attacks for 2-3 turns but then becomes confused.
149, Thunder, Electric, Special, 110, 70, 10, May paralyze opponent.
150, Thunder Punch, Electric, Physical, 75, 100, 15, May paralyze opponent.
151, Thunder Shock, Electric, Special, 40, 100, 30, May paralyze opponent.
152, Thunder Wave, Electric, Status, 0, 90, 20, Paralyzes opponent.
153, Thunderbolt, Electric, Special, 90, 100, 15, May paralyze opponent.
154, Toxic, Poison, Status, 0, 90, 10, Badly poisons opponent.
155, Transform, Normal, Status, 0, 0, 10, User takes on the form and attacks of the opponent.
156, Tri Attack, Normal, Special, 80, 100, 10, May paralyze, burn or freeze opponent.
157, Twineedle, Bug, Physical, 25, 100, 20, Hits twice in one turn. May poison opponent.
158, Vine Whip, Grass, Physical, 45, 100, 25
159, Vise Grip, Normal, Physical, 55, 100, 30
160, Water Gun, Water, Special, 40, 100, 25
161, Waterfall, Water, Physical, 80, 100, 15, May cause flinching.
162, Whirlwind, Normal, Status, 0, 0, 20, In battles, the opponent switches. In the wild, the Pokémon runs.
163, Wing Attack, Flying, Physical, 60, 100, 35
164, Withdraw, Water, Status, 0, 0, 40, Raises user's Defense.
165, Wrap, Normal, Physical, 15, 90, 20, Traps opponent, damaging them for 4-5 turns.